,명사,빈도
441,과정,2
442,발생,27
443,수,181
444,최소,9
445,네트워크,28
446,오류,40
447,서버,76
448,렉,30
449,현상,51
450,개선,54
451,항목,2
452,지속,3
453,검토,2
454,주님,2
455,마다,6
456,환경,16
457,시일,1
458,해결,42
459,집중,6
460,안내,6
461,기록,16
462,복구,3
463,실시간,5
464,반영,11
465,거나,25
466,수정,30
467,불,8
468,안정,8
469,튕김,3
470,일부,15
471,케이스,3
472,자체,40
473,무효,7
474,처리,11
475,비정상,12
476,모든,23
477,앞,27
478,방안,9
479,최선,8
480,다시,59
481,노력,51
482,타령,4
483,공화국,1
484,박살,5
485,다이렉트,4
486,정,12
487,미도,2
488,보정,101
489,사이,16
490,수가,17
491,살짝,7
492,밀리,2
493,세상,7
494,정상,23
495,이면,28
496,말,157
497,퍼터,14
498,턴,7
499,동작,3
500,탈,9
501,압박,16
502,그거,13
503,방향키,26
504,슛키,1
505,인풋,1
506,중거리,22
507,파워,12
508,게이지,4
509,조절,8
510,지방,17
511,하이,5
512,임,198
513,스팀,4
514,소린,1
515,오버,13
516,워치,4
517,데,33
518,수도권,13
519,이해도,6
520,국내,2
521,일본,10
522,멀리,3
523,사용,66
524,스트림,1
525,방송,12
526,요구,23
527,제주도,4
528,뜰,2
529,수도,15
530,바다,1
531,건너,1
532,오사카,1
533,님들,12
534,순간,21
535,방이,2
536,유니폼,23
537,정지,8
538,인,58
539,아시,16
540,분,122
541,은,27
542,이해,31
543,추석,1
544,모니터링,4
545,승률,31
546,극복,11
547,별,23
548,손가락,13
549,양반,4
550,파서,3
551,대체,18
552,걔네,3
553,붙이,2
554,차근차근,2
555,아다리,15
556,좆,12
557,고수,10
558,자꾸,22
559,컨디션,7
560,씨발,18
561,고승,1
562,급전,10
563,처,11
564,스탯,8
565,다운,3
566,딥빡임챔스,1
567,볼돌,12
568,스트레스,18
569,피,53
570,승패,23
571,판수,15
572,전설,3
573,샷건,2
574,킥,2
575,오프,4
576,튕겨,1
577,기전,2
578,점검,11
579,지도,2
580,못,56
581,간,9
582,잘못,13
583,계보,2
584,슈,20
585,점최,1
586,하위,20
587,게,49
588,초기,11
589,기도,11
590,빡쎼,2
591,효,3
592,작,4
593,무료,8
594,위닝,9
595,라이센스,3
596,명칭,1
597,페이스,3
598,온,4
599,패치,78
600,필요,27
601,구매,8
602,천장,2
603,천만원,2
604,굴리트,3
605,보장,2
606,주기,5
607,중국,3
608,임금,1
609,격차,18
610,서민,4
611,빈부격차,1
612,돈,46
613,게이머,6
614,성지,1
615,대충,14
616,해,44
617,주니,1
618,보고,55
619,아시아,2
620,국가,3
621,차별,2
622,스스로,6
623,의견,34
624,시도,4
625,특허,1
626,가챠,1
627,확률,20
628,소비자,1
629,우롱,1
630,메이플,5
631,페그오,1
632,사고,10
633,뉴스,3
634,공론,5
635,유튜브,22
636,채널,5
637,활성화,2
638,디렉터,2
639,일방,3
640,통보,1
641,랍시고,2
642,짝,2
643,좀해,5
644,볼때,2
645,캠페인,1
646,현질,37
647,현역,10
648,잠수함,3
649,금,12
650,오후,13
651,최적화,17
652,작업,10
653,재,24
654,접속,17
655,아래,28
656,추후,5
657,예정,8
658,시점,6
659,확정,6
660,혼란,4
661,악마,1
662,버전,6
663,무,28
664,적용,23
665,이전,9
666,중이,10
667,셨던,1
668,완료,10
669,별도,1
670,자동,37
671,감독,49
672,모드,75
673,시,55
674,팝업,3
675,노출,2
676,라커룸,3
677,야야,1
678,투레,1
679,차비,1
680,스크린샷,1
681,촬영,1
682,클래스,7
683,션,12
684,롱,1
685,스태프,1
686,액션,1
687,샷,1
688,미니,33
689,화면,18
690,설정,47
691,품질,3
692,특정,13
693,변경,25
694,단,13
695,번,69
696,술,2
697,운전,2
698,음주,2
699,발,30
700,교불,7
701,일괄,4
702,삭제,17
703,거래,4
704,교환,8
705,금카팀,5
706,하향,8
707,차,21
708,넥필,18
709,철회,9
710,뉴택틱,4
711,특성,12
712,무전,1
713,무죄,1
714,유전,9
715,유죄,1
716,끝,16
717,투쟁,2
718,하리,1
719,겜할떄,1
720,서든,3
721,팀전,3
722,대결,4
723,다해,4
724,난,33
725,걱정,4
726,면,11
727,유입,12
728,초보,2
729,진입,7
730,장벽,5
731,접,10
732,기존,20
733,학,10
734,얼른,1
735,고의,5
736,구분,8
737,애,94
738,어웨이,1
739,굳이,28
740,스쿼드,29
741,시발,29
742,련,3
743,모바일,46
744,경과,1
745,인성,5
746,질좀,2
747,스타,3
748,새벽,18
749,부계,4
750,세레머니,8
751,버그,38
752,볼타,21
753,유효,1
754,슈팅,7
755,무한,9
756,함,124
757,고정,7
758,레반,10
759,리즈,2
760,수지,1
761,피온,79
