,명사,빈도
1778,장기,3
1779,통합,11
1780,회하,1
1781,퇴,1
1782,제외,19
1783,학러,1
1784,더욱,10
1785,고현재,1
1786,미래,3
1787,자초,1
1788,질질,2
1789,섭,9
1790,종이,3
1791,심플,3
1792,닥,2
1793,상남자,1
1794,메이,10
1795,비만,1
1796,닥공,1
1797,방어,2
1798,본프레레,1
1799,양쪽,2
1800,사이드,11
1801,하프,3
1802,스페이스,8
1803,개시,4
1804,센터백,4
1805,시킴,2
1806,우위,3
1807,풀백,3
1808,동료,3
1809,공간,8
1810,옵션,10
1811,프레,1
1812,싱하,1
1813,무르,2
1814,보삼,1
1815,줄,23
1816,요약,6
1817,템포,2
1818,박스,5
1819,허구,3
1820,카팀해,1
1821,카팀으러,1
1822,카팀,3
1823,과금,15
1824,효율,5
1825,상식,5
1826,달리기,3
1827,미만,11
1828,몸싸움,6
1829,저걸,4
1830,료,1
1831,패삑,3
1832,저서,1
1833,감안,1
1834,갈수록,8
1835,풍차,2
1836,빅맨,7
1837,화,9
1838,슈챔런,2
1839,불과,2
1840,만해,7
1841,압도,16
1842,반,9
1843,고전,1
1844,마련,5
1845,어보,2
1846,떡,6
1847,넥필패치후,1
1848,돈신,5
1849,등판,2
1850,인증,9
1851,이슈,16
1852,소명,1
1853,님,4
1854,사진,14
1855,부가,2
1856,악의,1
1857,편집,1
1858,먼지,4
1859,서든어택,2
1860,전말,1
1861,요청,3
1862,장님,3
1863,태그,1
1864,이미지,3
1865,면제,1
1866,탈퇴,5
1867,제보자,1
1868,어쨌든,1
1869,사죄,7
1870,배려,4
1871,행동,1
1872,캐릭,2
1873,계기,3
1874,의지,5
1875,뷰징,1
1876,목적,2
1877,손실,2
1878,채,4
1879,명분,3
1880,사정,3
1881,강종,1
1882,등장,2
1883,나오니,1
1884,소속,3
1885,실추,1
1886,입장,37
1887,똥값,1
1888,삶,2
1889,취득,1
1890,망,6
1891,전광판,5
1892,복합,3
1893,동네,2
1894,씨방,2
1895,어그,6
1896,돌이,3
1897,상,2
1898,저격,3
1899,아아,1
1900,감좌,1
1901,러,2
1902,최소한,7
1903,스타트,1
1904,호,5
1905,구입,4
1906,날짜,1
1907,반대,42
1908,도둑질,1
1909,살인,1
1910,범죄,1
1911,기타등등,1
1912,해명,4
1913,쉴드,1
1914,고요,3
1915,길드,1
1916,판단,10
1917,깔껀까,1
1918,칭찬,3
1919,할껀,1
1920,감히,3
1921,합,3
1922,인지도,1
1923,높을껍니,1
1924,만들기,3
1925,깝,1
1926,기질,2
1927,닉변,2
1928,정황,3
1929,포착,2
1930,퇴근,5
1931,저녁식사,1
1932,앞서,7
1933,제목,3
1934,올린다,1
1935,가기,4
1936,해주시,1
1937,엊그제,2
1938,캡쳐,1
1939,수면,1
1940,위로,7
1941,동시,8
1942,추측,4
1943,님들말,1
1944,하필,1
1945,워낙,3
1946,인민군,1
1947,밑바닥,1
1948,자진,1
1949,어뷰징했다,1
1950,몫,1
1951,자료,3
1952,수집,3
1953,밤,2
1954,랭,4
1955,붕괴,7
1956,본가,33
1957,디아,1
1958,이정,4
1959,삘타,1
1960,큐,10
1961,갱신,4
1962,매크로,31
1963,지원,12
1964,어쩌,10
1965,일어나서,4
1966,삥삥삥,1
1967,첫경험,1
1968,연장,5
1969,질땐,1
1970,짤짤,1
1971,토츠때,1
1972,쓸껀,1
1973,업글,3
1974,배,16
1975,첨부,7
1976,한가지,7
1977,덜,7
1978,개좆,3
1979,화만,1
1980,일도,3
1981,이란,2
1982,상대편,5
1983,현실,21
1984,임잼민,1
1985,급식,3
1986,골수팬,1
1987,등록,6
1988,고치,5
1989,괜찬겟,1
1990,곳,13
1991,옆,2
1992,쓰루,2
1993,찬스,8
1994,코앞,1
1995,에스,1
1996,농구,2
1997,훅슛,1
1998,발동,8
1999,맘,9
2000,쓰기,7
2001,심판,4
2002,판정,15
2003,편파,1
2004,한쪽,8
2005,종일,3
2006,탱탱,1
2007,승승,2
2008,그다음,1
2009,무무,6
2010,패무,2
2011,턱,1
2012,거리,24
2013,어처구니,4
2014,생기,5
2015,항의,2
2016,땜,3
2017,찬물,1
2018,끼,11
2019,딱지,1
2020,무난,5
2021,같,1
2022,기적,4
2023,정신,8
2024,회사,9
2025,실적,1
2026,이상근,1
2027,척좀,1
2028,토요일,1
2029,즈그,1
2030,내면,4
2031,인플레이션,1
2032,염려,1
2033,명목,1
2034,배일때,1
2035,기만,1
2036,거임넥필,1
2037,롤백,4
2038,겨울방학,1
2039,전성기,2
2040,귀신,2
2041,잼임,1
2042,작정,1
2043,안고,3
2044,리셋,7
2045,공유기,4
2046,산지,1
2047,와이파이,2
2048,상워,1
2049,둘째,3
2050,치고핑,1
2051,된거,7
2052,이해해,1
2053,신경안,3
2054,비밀번호,1
2055,숫자,12
2056,자위,2
2057,설문조사,1
2058,강,7
2059,헤엄,1
2060,부때,1
2061,한숨,1
2062,기적처럼,1
2063,거만,2
2064,트째인데넥필,1
2065,조기,2
2066,곱창,1
2067,김,5
2068,요구사항,1
2069,월스작,2
2070,팟들,1
2071,팟,2
2072,도입,10
2073,무브,1
2074,심플무브,1
2075,폭,1
2076,시력,1
2077,저하,3
2078,김칫국,1
2079,사발,1
2080,그릇,1
2081,공이,4
2082,마심,1
2083,콜,2
2084,안주,2
2085,봉인,2
2086,용,8
2087,코치,15
2088,진영,7
2089,튕겨나온,1
2090,경합,7
2091,경계,1
2092,커팅,1
2093,절로,1
2094,힘,6
2095,모양,3
2096,검정색,1
2097,하늘색,1
2098,빨간색,2
2099,밀고,2
2100,나열,1
2101,삼국,11
2102,젤,2
2103,조,4
2104,단위,6
2105,태클,7
2106,순서대로,1
2107,효과,2
2108,똑바로,3
2109,책정,2
2110,예시,11
2111,농협,1
2112,사태,4
2113,공격수,10
2114,콘,5
2115,비교,19
2116,압살,1
2117,치도,1
2118,메리트,2
2119,사용성,1
2120,지해,1
2121,알파,1
2122,파란,3
2123,이언,1
2124,교,1
2125,불로,1
2126,양극화,1
2127,안감,5
2128,주요,2
2129,부류,2
2130,카를,5
2131,간지,1
2132,훼손,1
2133,카이,1
2134,기획,5
2135,핫게,1
2136,마케팅,2
2137,끈,1
2138,화살,2
2139,모멘트,8
2140,부적,1
2141,데이,3
2142,강데,2
2143,계산,1
2144,이자,3
2145,실금,1
2146,부담,3
2147,카드,10
2148,조가,1
2149,김민교,2
2150,연펑,1
2151,뿌꾸,2
2152,백만원,1
2153,시청자,7
2154,펑,1
2155,푼,1
2156,슴,1
2157,합당,5
2158,계약,4
2159,광고,5
2160,어쩌구,3
2161,캐시,1
2162,볼랬더,1
2163,비용,6
2164,개비,1
2165,제이,5
2166,쪼가리,1
2167,증발,1
2168,쫄리긴,1
2169,뿌리,2
2170,주식,2
2171,가능성,11
2172,아작,1
2173,넥스트,7
2174,필드,7
2175,타가,2
2176,박탈,1
2177,돈빨,1
2178,심보,3
2179,영안,1
2180,오해사,1
2181,방관,2
2182,시리즈,13
2183,바,8
2184,십년,2
2185,진작,2
2186,소송,1
2187,오리,1
2188,수힛,2
2189,다누리,1
2190,비판,4
2191,웃기,3
2192,빈번,3
2193,스코어,4
2194,유무,3
2195,지기,2
2196,뿌,1
2197,도감,1
2198,뿌나,2
2199,매커니즘,1
2200,기형,1
2201,함앞,1
2202,뻥,1
2203,극락,2
2204,듬,2
2205,보라,4
2206,메인,7
2207,두둥,1
2208,어둠,1
2209,와이프,2
2210,달성,6
2211,눈치,4
2212,주,20
2213,세용,1
2214,캡,1
2215,천,1
2216,모라,1
2217,굿,2
2218,피좆,1
2219,삼국지,1
2220,땅,6
2221,정해,2
2222,임땅,1
2223,점령,4
2224,강침,1
2225,수락,2
2226,성사,1
2227,비자,1
2228,장전,1
2229,확보,4
2230,침공,1
2231,인접,1
2232,영토,1
2233,로만,14
2234,금액,2
2235,캐쉬,1
2236,무제한,1
2237,모델링,1
2238,터뮤,1
2239,티,6
2240,인방,1
2241,시청률,1
2242,오키,1
2243,사업자,1
2244,영리,1
2245,사업,1
2246,영리활동,1
2247,응원,1
2248,직장인,3
2249,전면,1
2250,스포츠,4
2251,현아,1
2252,연예,1
2253,섭외,1
2254,함즉,1
2255,성의,1
2256,여태,7
2257,불가능,8
2258,한일,2
2259,나라,4
2260,통계,4
2261,승무,3
2262,횟수,5
2263,산정,1
2264,이신,2
2265,한탄,1
2266,미드,3
2267,전진,3
2268,백,23
2269,튀어,3
2270,구멍,2
2271,슝슝,1
2272,쓰레기,10
2273,겐프,2
2274,레싱,2
2275,게겐프레싱,3
2276,저쩌구,1
2277,티키타카,2
2278,맨,3
2279,쏭솔,2
2280,레슨,1
2281,주제,15
2282,부랑,4
2283,고작,1
2284,판지,1
2285,개빡,1
2286,평일,8
2287,잠,1
2288,연벙,1
2289,왕별,1
2290,새끼,32
2291,낫다,2
2292,초가,1
2293,석,2
2294,망겜,6
2295,덕,3
2296,키컨,4
2297,꿀잼임,1
2298,만요,1
2299,근래,2
2300,입력,34
2301,작동,4
2302,딜,8
2303,연관,2
2304,종종,5
2305,양보,2
2306,피망,4
2307,지그,1
2308,원성,2
2309,씸힘,1
2310,먹통,1
2311,퍼터씹힘,1
2312,렉시,1
2313,마크,2
2314,캔슬,1
2315,직선,3
2316,거마,4
2317,유독,7
2318,날때,1
2319,작전,6
2320,일어나지,1
2321,일이,1
2322,시절,8
2323,금보,1
2324,캐쉬백,1
2325,만원,5
2326,투어,1
2327,횡포,2
2328,흑우,2
2329,기계,4
2330,년전,2
2331,키씸힘,1
2332,매니저,6
2333,대상,3
2334,대화,2
2335,손점,1
2336,다지,2
2337,터닝,5
2338,커뮤니티,3
2339,논쟁,23
2340,가뜩이나,2
2341,전체,10
2342,계획,1
2343,간극,1
2344,중요,2
2345,해먹,1
2346,유벤투스,1
2347,실화,2
2348,발롱,1
2349,칸나바로,1
2350,시뮬,1
2351,망조,1
2352,어찌할런,1
2353,각도,7
2354,간담,1
2355,회,1
2356,리뷰,1
2357,관점,3
2358,관력,1
2359,로그,2
2360,달라,21
2361,전달,3
2362,공개,6
2363,해보셧나,1
2364,여력,1
2365,모집단,1
2366,통신사,2
2367,회선,4
2368,물리,5
2369,위치,13
2370,지연,8
2371,대신,11
2372,서울,3
2373,인천,3
2374,측정,1
2375,런칭한,1
2376,못햇,1
2377,중간,6
2378,중계,3
2379,피셜주말,1
2380,프로그램,6
2381,대규모,3
2382,날씨,1
2383,진,8
2384,부산,1
2385,화낼,1
2386,식당,2
2387,좌석,1
2388,하진,2
2389,여담,1
2390,외치,3
2391,도태,5
2392,몇몇,7
2393,외침,2
2394,중거리슛,3
2395,공률,3
2396,프로농구,1
2397,점슛,1
2398,정돈,1
2399,훌쩍,1
2400,아케이드,2
2401,실축,4
2402,슈터아님,1
2403,무패,1
2404,는디,1
2405,됏,1
2406,프로도,1
2407,보라색,1
2408,격진,2
2409,데헤아,1
2410,대고,5
2411,천억,3
2412,뿌꾸님,1
2413,주인공,1
2414,분과,1
2415,신기,2
2416,방기,1
2417,드네,1
2418,커맨드,2
2419,겹,4
2420,스텀,2
2421,삤기,1
2422,조합,2
2423,안남,3
2424,공홈,2
2425,최,14
2426,루트,4
2427,어딘,1
2428,임팩트,1
2429,디자인,1
2430,뽕맛,1
2431,컷신,1
2432,페,1
2433,감성,3
2434,불꽃,1
2435,재활용,1
2436,켯,1
2437,핸드폰,1
2438,배터리,1
2439,낭,2
2440,픽,2
2441,담배,1
2442,페널티,3
2443,나락이,1
2444,봣던놈보,1
2445,보고또보고,1
2446,쾌적,1
2447,쟈,1
2448,족목,1
2449,모습,2
2450,이발,4
2451,지방핑,1
2452,대만,2
2453,로우,4
2454,리도,4
2455,시늉,1
2456,하이큐,2
2457,안길,1
2458,적폐,1
2459,민국,1
2460,샛기,3
2461,사과글,1
2462,부귀,1
2463,영화,1
2464,스폰서,2
2465,대기업,1
2466,매하,1
2467,맥,1
2468,래야,4
2469,버러지,4
2470,발전,20
2471,첼레,3
2472,이따,1
2473,구로,1
2474,신식,1
2475,풋살,4
2476,즉석,1
2477,가도,4
2478,취미,1
2479,꿀팁,1
2480,듯이,1
2481,성립,2
2482,뿐더러,1
2483,매음,2
2484,고소,2
2485,지칭,2
2486,인생,7
2487,성범죄,1
2488,벌레,1
2489,개심,1
2490,키도,1
2491,이상만,2
2492,망아지,1
2493,잡음,1
2494,개념,5
2495,모름,5
2496,터치,6
2497,남발,2
2498,안키,1
2499,꺽으,1
2500,아웃,3
2501,헛소리,2
2502,자위함,1
2503,삑남,1
2504,억지로,6
2505,발암,1
2506,국룰,2
2507,재부팅,1
2508,상관관계,1
2509,논문,1
2510,마렵,1
2511,예능,1
2512,팀임,1
2513,캐나다,1
2514,심리,2
2515,여기저기,2
2516,결론,14
2517,첼뮌한레,1
2518,장창,4
2519,톱,8
2520,셰우,4
2521,스쿼드입니,1
2522,캡셰우,1
2523,양,1
2524,일지,2
2525,판다,2
2526,첼톱,1
2527,아자르,2
2528,첼졸,1
2529,조롱,2
2530,모처럼,1
2531,높이,2
2532,패작,1
2533,수록,6
2534,애러,1
2535,급,5
2536,깨달,1
2537,스틱,4
2538,요령,1
2539,터득,1
2540,세면,1
2541,자신감,1
2542,전개도,1
2543,차붐,2
2544,봉훈님,1
2545,심,3
2546,빡쎄나,1
2547,개한민국,1
2548,텀,1
2549,교집합,2
2550,백이,2
2551,니야,3
2552,비중,4
2553,수수료,2
2554,쿠폰,3
2555,옹호,1
2556,빡쌔,1
2557,슈챔급,3
2558,장난감,2
2559,징,6
2560,하이엔드,3
2561,인플레,1
2562,자비,1
2563,시티,2
2564,비닐,1
2565,신,7
2566,워커,1
2567,칸지,1
2568,뤼,1
2569,디거,1
2570,홀란발베,1
2571,덕배,1
2572,벤제마,4
2573,디아스,1
2574,카마,1
2575,빙,2
2576,레즈,1
2577,카르,1
2578,연장전,2
2579,라이,2
2580,멋대로,3
2581,오니,1
2582,판별,1
2583,방명록,2
2584,비공개,1
2585,토트넘,1
2586,유망,2
2587,주가,1
2588,뿌실,1
2589,라서,2
2590,인식,8
2591,몸,2
2592,파울,6
2593,수로,3
2594,멤버,2
2595,구해,1
2596,음성,2
2597,찍기,2
2598,색깔,3
2599,빠가사리,1
2600,꼬마,1
2601,홈킷,1
2602,톤,1
2603,묶음,2
2604,색도,1
2605,안겹치,1
2606,홈,3
2607,배제,3
2608,킷,1
2609,능지,2
2610,처참,1
2611,락,1
2612,개월차,1
2613,행진,1
2614,주전,4
2615,훈수,1
2616,쌩,2
2617,아디,2
2618,슨,2
2619,무한정,1
2620,돌림,2
2621,발견,1
2622,얼레,1
2623,애기,2
2624,단순,5
2625,이상구,1
2626,오름,1
2627,을해,2
2628,최악,3
2629,지인,2
2630,정신병,4
2631,싯팔,1
2632,혐오,2
2633,증,3
2634,싯,1
2635,골키퍼,5
2636,토템,1
2637,시브,1
2638,람,1
2639,때싯팔,1
2640,박주영,12
2641,씨팔,1
2642,구미호,3
2643,사이더,1
2644,친추,3
2645,하남,3
2646,월글,1
2647,대표팀,5
2648,퍼,5
2649,빡쎔,1
2650,퍼찍,1
2651,풀,12
2652,하늘,1
2653,슈챔들,3
2654,슈챔애들,1
2655,개그,1
2656,한판만,3
2657,국,11
2658,엊그젠,1
2659,짐그,1
2660,난적,1
2661,첨,3
2662,거더,1
2663,부스터,3
2664,뤼더거,1
2665,롤큐브스터,1
2666,간격,5
2667,짤리,1
2668,금방,1
2669,베스트,7
2670,쉬프트,8
2671,힐플릭,1
2672,이제껏,1
2673,차원,4
2674,프라임,6
2675,발아,1
2676,문장,1
2677,낭낭,1
2678,넌,2
2679,싸이,2
2680,사양,6
2681,하드웨어,2
2682,률,5
2683,음으로,1
2684,간혹,1
2685,안정화,2
2686,웹캠,11
2687,보이스,2
2688,마이크,8
2689,퀵,2
2690,뜸,5
2691,과부,1
2692,입구,1
2693,명도,2
2694,선착순,2
2695,스마트폰,4
2696,준비물,1
2697,테더링,2
2698,케이블,1
2699,충전,1
2700,잭,1
2701,애플,1
2702,스토어,1
2703,준비,1
2704,얼굴,6
2705,생,2
2706,페르소나,1
2707,필터,1
2708,하단,3
2709,플레이톡,1
2710,박제,2
2711,막날,2
2712,직전,2
2713,악,1
2714,어뷰,1
2715,쿨,3
2716,포지션,4
2717,체크박스,1
2718,바르가,1
2719,황선홍,1
2720,카인,1
2721,잡,5
2722,모션,7
2723,투표,12
2724,좆망,1
2725,햐,1
2726,고액,1
2727,베르데,1
2728,표기,1
2729,랭커들,2
2730,중복,2
2731,비번,3
2732,본능,1
2733,컴터,2
2734,의사소통,2
2735,뭐함,4
2736,모임,1
2737,카테고리,1
2738,응집,1
2739,개돼지,2
2740,색,1
2741,악질,3
2742,숙청,1
2743,옷,3
2744,통한,4
2745,꼼수,1
2746,야기,1
2747,현황,2
2748,개새,2
2749,정밀,1
2750,도로,6
2751,팽,1
2752,옵,2
2753,초집,1
2754,휘슬,1
2755,녹화,3
2756,로그인,2
2757,네이버,1
2758,서포터,1
2759,어쩌고,1
2760,렉임,1
2761,퀘스트,2
2762,위쪽,2
2763,일어난다,1
2764,치달,2
2765,테일러,1
2766,제비,1
2767,호두,1
2768,버튼,18
2769,간다,5
2770,매일,5
2771,발목,1
2772,고월,1
2773,난담,1
2774,제닉스,1
2775,발림,2
2776,님키컨,1
2777,인정이,2
2778,게속,2
2779,하내,1
2780,껏,4
2781,스쿼드임,1
2782,불구,4
2783,아레나,4
2784,평생,1
2785,소원,3
2786,자살,1
2787,마렵다,1
2788,간절,1
2789,페이스북,1
2790,자랑,2
2791,콧대,1
2792,웃음,4
2793,학창시절,1
2794,벌써,2
2795,세월,1
2796,만년,5
2797,프월딱,2
2798,복,2
2799,어디가,2
2800,뉴비,5
2801,안됭이유,1
2802,계정은,3
2803,대략,2
2804,프로야,1
2805,그닥,1
2806,확율,3
2807,고정관념,1
2808,개지랠,1
2809,최대,7
2810,증가,5
2811,함수,1
2812,해골,3
2813,물이,1
2814,뿌구,2
2815,거렸,1
2816,전국,1
2817,킹,2
2818,피창,1
2819,코어,1
2820,코다리,13
2821,패패패패,1
2822,감뭐,1
2823,백억,2
2824,손오공,1
2825,감수,8
2826,가불,1
2827,남탓,2
2828,팀빨,3
2829,동점,1
2830,모멘텀,4
2831,추,2
2832,드업,1
2833,헤딩골,1
2834,먹음,1
2835,엄마,3
2836,짤린,2
2837,우승,1
2838,사려,1
2839,트론,1
2840,슈챔구간,1
2841,차례,2
2842,정이,2
2843,핵,9
2844,레,1
2845,북,3
2846,치구,2
2847,장구,2
2848,대한민국,18
2849,랭크내리,1
2850,짬뽕,5
2851,서식,2
2852,미감,1
2853,트리,3
2854,임롤,1
2855,어쨋,3
2856,던,5
2857,루프,1
2858,에고,1
2859,달마,1
2860,하드,3
2861,소프트,1
2862,고사,1
2863,배정,5
2864,중위,2
2865,교란,1
2866,난입,1
2867,관성,2
2868,조울증,1
2869,자기만족,1
2870,로지텍,7
2871,레이저,4
2872,드릴,3
2873,빽,1
2874,악성,1
2875,주지,2
2876,제공,3
2877,널리,1
2878,취지,1
2879,브랜드,3
2880,도중,3
2881,어려움,4
2882,성도,2
2883,미리,6
2884,파일,3
2885,제품,2
2886,제작,1
2887,대중화,1
2888,소개,1
2889,일상생활,1
2890,플러스,3
2891,준,4
2892,화살표,1
2893,빈,2
2894,칸,1
2895,마우스,18
2896,두시,2
2897,할당,7
2898,좌우,3
2899,지정,6
2900,재생,2
2901,저장,5
2902,동의,5
2903,향상,3
2904,프로필,2
2905,드라이브,1
2906,로컬,1
2907,디스크,1
2908,로고,1
2909,용량,1
2910,실행파일,1
2911,목록,1
2912,해제,2
2913,도구모음,1
2914,꽉,4
2915,음줄,1
2916,우측,1
2917,상단,2
2918,표준,2
2919,표시,5
2920,스크롤,1
2921,형태,1
2922,래그,1
2923,예상,1
2924,사이클,2
2925,어도,1
2926,원선,1
2927,전원,2
2928,전력,1
2929,방지,3
2930,취침,2
2931,팁게,1
2932,활용,2
2933,휴가,1
2934,특,7
2935,오천억,1
2936,켜,2
2937,킬,1
2938,색상,1
2939,안겹,1
2940,한수,1
2941,전쟁,2
2942,토론,19
2943,역사,4
2944,차두리,6
2945,스쿼,2
2946,드하,5
2947,나로,2
2948,해자,1
2949,넥,2
2950,필기,1
2951,파벌,2
2952,번외편,1
2953,승자,2
2954,꼬리,2
2955,물기,2
2956,팀마,1
2957,짐승,1
2958,보합,1
2959,인류,1
2960,매국노,1
2961,친일파,1
2962,대뜸,1
2963,입꾹,3
2964,뽀록,2
2965,저런,4
2966,염병,2
2967,병자,1
2968,격리,5
2969,그림,4
2970,비비고,2
2971,쌔컨볼다,1
2972,밭,1
2973,고가,2
2974,비롯,1
2975,스텟들,1
2976,끽,2
2977,안팎,1
2978,섭종무새,2
2979,고공,1
2980,마취,1
2981,트,16
2982,래핑,7
2983,멍,2
2984,엄한,1
2985,컨볼,1
2986,태업,1
2987,어거지,2
2988,경상도,3
2989,전라도,3
2990,무주,1
2991,땅값,1
2992,울화통,1
2993,포르자할때,1
2994,대각,12
2995,삑,2
2996,사리,1
2997,진동,1
2998,쾌감,3
2999,암,1
3000,깨,1
3001,려,2
3002,자시,1
3003,보도,3
3004,개미,1
3005,친,3
3006,어우,2
3007,제도로,1
3008,애꿎,1
3009,희생,1
3010,위아래,6
3011,관해,3
3012,피파시리즈,8
3013,우리나라,4
3014,문화,4
3015,가게,4
3016,배그,5
3017,부합,1
3018,타협,2
3019,예고,1
3020,이드,1
3021,수익,4
3022,타겟,4
3023,국문,1
3024,접근성,6
3025,플레이도,2
3026,억지,10
3027,야생,1
3028,각하,1
3029,중점,3
3030,숙명,1
3031,뒈,2
3032,제자리,3
3033,바깥,1
3034,유유,1
3035,골그,1
3036,특유,1
3037,향연,1
3038,존,5
3039,핑거팁,1
3040,선방,2
3041,노마크,1
3042,헤더,1
3043,암만,1
3044,유럽,1
3045,유린,1
3046,애국자,1
3047,자부,1
3048,데리,1
3049,퍼포먼스,2
3050,모나코,1
3051,올림픽,1
3052,발끝,1
3053,죄,1
3054,인스타,1
3055,심정,1
3056,운영자,1
3057,족,2
3058,살,4
3059,턱걸이,1
3060,반성,1
3061,노리,2
3062,윗,2
3063,대꾸,2
3064,대장,7
3065,떡밥,11
3066,완결,1
3067,주정,2
3068,욤함,1
3069,여가,1
3070,여유,3
3071,유리,4
3072,왜케,3
3073,여론,4
3074,파레,1
3075,법칙,1
3076,업계,2
3077,정량,1
3078,롬들,1
3079,갯수,1
3080,초과,1
3081,짤,2
3082,뷰,1
3083,마음,7
3084,영준,3
3085,오른쪽,3
3086,파란색,1
3087,헤나,1
3088,투산,1
3089,시스,1
3090,네이마르,2
3091,대걸레,2
3092,발작,2
3093,게거품,1
3094,이길자,1
3095,컨트롤러,46
3096,업적,1
3097,표현,3
3098,적함,1
3099,태생,9
3100,죽,1
3101,여야,1
3102,전형,1
3103,콘솔,23
3104,절,2
3105,고함,2
3106,조작상,1
3107,대가,6
3108,안막,1
3109,로남불,1
3110,이점,7
3111,분야,1
3112,강요,3
3113,방유,1
3114,저가,1
3115,차지,5
3116,불리,6
3117,의무,1
3118,사의,1
3119,태도,1
3120,슈첼,4
3121,번외,1
3122,현금,4
3123,유료,2
3124,한적,2
3125,감스트,1
3126,만족,4
3127,대다수,10
3128,호구,1
3129,임의,1
3130,쓰시,1
3131,보드게임,2
3132,뿐얘,1
3133,나사선,1
3134,아래쪽,3
3135,증설,2
3136,윈윈,1
3137,홍보,1
3138,김승섭,1
3139,함왜,1
3140,핑높,2
3141,절대로,5
3142,솔,2
3143,자판기,1
3144,레던더리,1
3145,불공정,12
3146,가가,2
3147,인데슈챌,1
3148,피방,12
3149,개수,1
3150,부리면,1
3151,율좀,1
3152,가닥,1
3153,해물,1
3154,늬들,2
3155,트루,1
3156,반면,4
3157,제휴,1
3158,이익,1
3159,다,3
3160,선호,2
3161,럴,1
3162,능,1
3163,무능력,1
3164,기인,2
3165,메뉴,4
3166,눈가,1
3167,림,1
3168,본질,2
3169,모순,3
3170,그로,3
3171,감속,3
3172,키컨돼,1
3173,꼬우,23
3174,합류,7
3175,임본,1
3176,가의,2
3177,함키,2
3178,장단점,5
3179,지점,2
3180,비시,2
3181,별개,2
3182,필요성,2
3183,우린,2
3184,권장,2
3185,개꿀,2
3186,자게,6
3187,발리,2
3188,일인,2
3189,건데,3
3190,임뭐,1
3191,과반수,2
3192,소름,1
3193,유토피아,2
3194,인상,1
3195,강의,1
3196,논제,1
3197,논점,2
3198,찬성,22
3199,낭비,1
3200,평가,7
3201,무새,5
3202,원창연,2
3203,유튭,2
3204,명제,1
3205,치트키,1
3206,걱,1
3207,과외,2
3208,대학,2
3209,공부,3
3210,고딩,2
3211,린다,2
3212,뺑,2
3213,뻘짓하,1
3214,건안,1
3215,추글보,1
3216,죄송,2
3217,분란,1
3218,분산,1
3219,꼴,7
3220,아닥,1
3221,고갈,1
3222,드니,2
3223,접수,2
3224,아님둥,1
3225,빼액,3
3226,데키,1
3227,욕욕,4
3228,스트,31
3229,월딱,1
3230,챌딱,1
3231,동감,1
3232,로더,1
3233,피해자,3
3234,가해자,2
3235,특혜,2
3236,셈,2
3237,전용,12
3238,라나,2
3239,파주,1
3240,축하,3
3241,던키,1
3242,플스,3
3243,듀센,1
3244,자키,2
3245,잉,3
3246,기원,1
3247,십자,1
3248,본론,2
3249,불합리,8
3250,적폐팀,1
3251,제안,1
3252,찬,1
3253,통합랭크,1
3254,크보,1
3255,수동,4
3256,쓸모,1
3257,와중,2
3258,선물,2
3259,사비,1
3260,볼란치,2
3261,박아,2
3262,눈팅,4
3263,실제,9
3264,개설,2
3265,기사,2
3266,요원,2
3267,노스,1
3268,비제,1
3269,학원,1
3270,돈슛,1
3271,문재인,1
3272,민주당,1
3273,좌파,1
3274,출발,4
3275,민주주의,3
3276,녀석,1
3277,아난,1
3278,음청,1
3279,슈챌가볼까,1
3280,손꾸락,2
3281,일요일,1
3282,반응,5
3283,내년,4
3284,후년,1
3285,대가리,6
3286,란,1
3287,농담,1
3288,꿈,2
3289,미적,1
3290,감소,4
3291,달리,1
3292,연동,2
3293,지지,5
3294,생때,2
3295,살돈,2
3296,색기,1
3297,여지,1
3298,장비,12
3299,스트로,1
3300,쫄으신건,1
3301,건설,1
3302,하지맙시,1
3303,극성,1
3304,점화,1
3305,흐름,2
3306,반응속도,3
3307,긍정,3
3308,옥,1
3309,서비스,9
3310,목소리,3
3311,내야,2
3312,흥미,3
3313,실어,1
3314,하루아침,2
3315,적지,1
3316,할애,1
3317,참을성,1
3318,수만,3
3319,현저,4
3320,수익률,5
3321,초래,1
3322,자본주의,2
3323,끝판,1
3324,취해,1
3325,만족도,3
3326,일리,1
3327,공산주의,1
3328,잡기,2
3329,근본,12
3330,합리,1
3331,사도,2
3332,딱주,1
3333,놨,1
3334,놀이,1
3335,슈챔찍어볼,1
3336,루스,1
3337,알고리즘,1
3338,나선,1
3339,폼,2
3340,요지,1
3341,즐겜해,1
3342,울,1
3343,드뎌,1
3344,담달,1
3345,출고,1
3346,군,1
3347,우하하하,1
3348,물슈챔,1
3349,해줭,1
3350,분탕,2
3351,민폐,2
3352,싀벌럼들,1
3353,슈발,2
3354,상상,3
3355,싸우넹,1
3356,유투,1
3357,버,1
3358,유명인,1
3359,한승엽,1
3360,징글징글,1
3361,대세,2
3362,의자,3
3363,소신,2
3364,발언,3
3365,극악,3
3366,훼,1
3367,이크,1
3368,낚,1
3369,다반사,1
3370,웅앵,1
3371,간의,3
3372,조정은,1
3373,월컵,1
3374,특수,2
3375,풀이,3
3376,간과,2
3377,사례,1
3378,장르,1
3379,오른손,2
3380,맵핑,1
3381,에이펙,1
3382,키마,3
3383,분포,1
3384,니스,13
3385,최초,5
3386,전세계,2
3387,철권,6
